# syllable id,counts
0.000000000000000000e+00,2.655000000000000000e+03
1.000000000000000000e+00,3.260000000000000000e+03
2.000000000000000000e+00,4.101000000000000000e+03
3.000000000000000000e+00,1.784000000000000000e+03
4.000000000000000000e+00,6.303000000000000000e+03
5.000000000000000000e+00,6.456000000000000000e+03
6.000000000000000000e+00,6.575000000000000000e+03
7.000000000000000000e+00,1.477000000000000000e+03
8.000000000000000000e+00,4.720000000000000000e+02
9.000000000000000000e+00,1.606000000000000000e+03
1.000000000000000000e+01,2.146000000000000000e+03
1.100000000000000000e+01,2.753000000000000000e+03
1.200000000000000000e+01,3.269000000000000000e+03
1.300000000000000000e+01,2.278000000000000000e+03
1.400000000000000000e+01,1.500000000000000000e+03
1.500000000000000000e+01,1.867000000000000000e+03
1.600000000000000000e+01,1.568000000000000000e+03
1.700000000000000000e+01,8.280000000000000000e+02
1.800000000000000000e+01,9.860000000000000000e+02
1.900000000000000000e+01,8.360000000000000000e+02
2.000000000000000000e+01,6.390000000000000000e+02
2.100000000000000000e+01,8.910000000000000000e+02
